id,text,irony,sarcasm,topic,lemmatized_text,cleaned_text,cleaned_text_mention_hashtag,sentiment,emotion
8.111568131818414e+17,"Zurigo, trovato morto il presunto autore della sparatoria nel centro islamico #20dicembre https://t.co/rBjvUi8RJ2",0.0,0.0,HSC,Zurigo trovare morire presumere autore sparatoria centro islamico #20dicembre @url,zurigo trovato morto presunto autore sparatoria centro islamico #20dicembre @url,zurigo trovato morto presunto autore sparatoria centro islamico @hashtag @url,negative,fear
8.111830873505956e+17,"Zurigo, trovato morto il presunto autore della sparatoria nel centro islamico - https://t.co/XMrEqPnV6w tramite https://t.co/zAAl3RtO5F",0.0,0.0,HSC,Zurigo trovare morire presumere autore sparatoria centro islamico @url tramite @url,zurigo trovato morto presunto autore sparatoria centro islamico @url tramite @url,zurigo trovato morto presunto autore sparatoria centro islamico @url tramite @url,negative,fear
8.263806323768812e+17,"Zingari..i soliti ""MERDOSI""..#cacciamolivia Roma, i rom aggrediscono un 81enne per rapinarlo. Bloccati dai cittadini https://t.co/j6LYylIkhe",0.0,0.0,HSC,zingaro solito merdoso #cacciamolivia Roma rom aggredire 81enne rapinare bloccare cittadino @url,zingari soliti merdosi #cacciamolivia roma rom aggrediscono 81enne rapinarlo bloccati cittadini @url,zingari soliti merdosi @hashtag roma rom aggrediscono 81enne rapinarlo bloccati cittadini @url,negative,anger
8.448711713508024e+17,"Zingari di merda,tutti al muro...bastardi Sparano ai carabinieri dopo la rapina: presi nel campo nomadi di Giugliano https://t.co/efYYDutXvs",0.0,0.0,HSC,zingaro merda muro bastardo sparare carabiniere dopo rapina prendere campo nomade Giugliano @url,zingari merda muro bastardi sparano carabinieri dopo rapina presi campo nomadi giugliano @url,zingari merda muro bastardi sparano carabinieri dopo rapina presi campo nomadi giugliano @url,negative,anger
5.097128243615703e+17,zero notizie decreto #tfaordinario II ciclo zero notizie prove scritte. Alla faccia de #labuonascuola.#matteorenzi cosa stai aspettando?,1.0,0.0,TW-BS,zero notizia decreto #tfaordinario II ciclo zero notizia prova scritto de #labuonascuola #matteorenzi cosa aspettare,zero notizie decreto #tfaordinario ii ciclo zero notizie prove scritte de #labuonascuola #matteorenzi cosa aspettando,zero notizie decreto @hashtag ii ciclo zero notizie prove scritte de @hashtag cosa aspettando,negative,fear
8.257194609714502e+17,"Yemen, primo raid ordinato da Trump: uccisi 14 terroristi, ma c’è anche un morto fra i soldati Usa … https://t.co/A8ssHTbUt5",0.0,0.0,HSC,Yemen primo raid ordinare Trump ucciso @number terrorista morto fra soldato Usa @url,yemen primo raid ordinato trump uccisi @number terroristi morto fra soldati usa @url,yemen primo raid ordinato trump uccisi @number terroristi morto fra soldati usa @url,negative,fear
8.140374697044417e+17,"Yao,i 3 rom si accusano a vicenda:Delusi dal bottino https://t.co/bLibkhlnX5 @FabrizioSantori NO PROBLEM IN GALERA TUTTI E 3 FINE PENA MAI!!",0.0,0.0,HSC,Yao @number rom accusare vicenda D eludere bottino @url @FabrizioSantori no PROBLEM galera @number fine pena mai,yao @number rom accusano vicenda delusi bottino @url @fabriziosantori no problem galera @number fine pena mai,yao @number rom accusano vicenda delusi bottino @url @mention no problem galera @number fine pena mai,negative,anger
8.344928298545316e+17,YAHOO!!Scoperti 7 nuovi pianeti simili alla terra!!forse abbiamo trovato la soluzione per il ricollocamento dei migranti!!,1.0,1.0,HSC,YAHOO scoprire @number nuovo pianeta simile terra forse trovare soluzione ricollocamento migrare,yahoo scoperti @number nuovi pianeti simili terra forse trovato soluzione ricollocamento migranti,yahoo scoperti @number nuovi pianeti simili terra forse trovato soluzione ricollocamento migranti,negative,fear
8.44312049173848e+17,x: non si entra nell'angolo rotture della Lidl rom: AAAAAAAAAAAAAAAAAAAAAH https://t.co/lQczymCw8x,1.0,0.0,HSC,x entrare angolo rottura Lidl rom AAAAAAAAAAAAAAAAAAAAAH @url,x entra angolo rotture lidl rom aaaaaaaaaaaaaaaaaaaaah @url,x entra angolo rotture lidl rom aaaaaaaaaaaaaaaaaaaaah @url,negative,anger
5.1165875142710886e+17,"x il ministro Giannini questo è l'anno della buona scuola,che è cambiato?ci ha messo lo zucchero?nn si possono più sentire tante str...",1.0,0.0,TW-BS,x ministro Giannini anno buono scuola cambiare mettere zucchero potere sentire tanto str,x ministro giannini anno buona scuola cambiato messo zucchero nn possono sentire tante str,x ministro giannini anno buona scuola cambiato messo zucchero nn possono sentire tante str,negative,anger
5.074068649809018e+17,"WOW!!! Tra tre anni, FORSE, ci danno 60 euro!!! Forza che da qui a un secolo raggiungiamo gli stipendi dei colleghi europei! #labuonascuola",1.0,0.0,TW-BS,WOW tre anno forse dare @number euro forza qui secolo raggiungere stipendio collega europeo #labuonascuola,wow tre anni forse danno @number euro forza qui secolo raggiungiamo stipendi colleghi europei #labuonascuola,wow tre anni forse danno @number euro forza qui secolo raggiungiamo stipendi colleghi europei @hashtag,negative,anger
5.1875543450556826e+17,"Wifi assente, nuovi modi di fare scuola, (im)preparazione del corpo docente. #labuonascuola http://t.co/EyjscFQi7J @startup_italia #ischool",0.0,0.0,TW-BS,Wifi assente nuovo modo scuola im preparazione corpo docente #labuonascuola @url @startup italia #ischool,wifi assente nuovi modi scuola im preparazione corpo docente #labuonascuola @url @startup italia #ischool,wifi assente nuovi modi scuola im preparazione corpo docente @hashtag @url @mention @hashtag,positive,sadness
5.152822343715021e+17,"Web-design tutto bello e colorato, ma #labuonascuola mi fa scegliere tra ciò che non amo e ciò che amo ancor meno. Quindi non lo compilerò.",1.0,0.0,TW-BS,Web design bello colorato #labuonascuola scegliere ciò amare ciò amare ancora meno quindi compilare,web design bello colorato #labuonascuola fa scegliere ciò amo ciò amo ancor meno quindi compilerò,web design bello colorato @hashtag fa scegliere ciò amo ciò amo ancor meno quindi compilerò,positive,joy
8.492187221831721e+17,"W la scuola, w la cultura, w il razzismo, w i deliri e l'islamofobia per studenti e cittadini!   https://t.co/sQEVHBaiEO  #belpaese",1.0,0.0,HSC,W scuola w cultura w razzismo w delirio islamofobia studente cittadino @url #belpaese,w scuola w cultura w razzismo w deliri islamofobia studenti cittadini @url #belpaese,w scuola w cultura w razzismo w deliri islamofobia studenti cittadini @url @hashtag,negative,anger
1.517097753804964e+17,vuoi lavorare come social innovator per il governo monti? invia il curriculum al ministro profumo http://t.co/eQ93fgp3 #avvisopubblico,0.0,0.0,TW-SENTIPOLC,volere lavorare social innovator governo monte inviare curriculum ministro profumare @url #avvisopubblico,vuoi lavorare social innovator governo monti invia curriculum ministro profumo @url #avvisopubblico,vuoi lavorare social innovator governo monti invia curriculum ministro profumo @url @hashtag,positive,joy
8.475446742356255e+17,VoxNews: Assessore PD fonda ONG che aiuta profughi a fare ricorso a spese nostre: Da una ricerca condotta dall… https://t.co/air5i2u5Er,0.0,0.0,HSC,VoxNews assessore PD fondere ONG aiutare profugo ricorso spesa ricerca condurre @url,voxnews assessore pd fonda ong aiuta profughi ricorso spese ricerca condotta @url,voxnews assessore pd fonda ong aiuta profughi ricorso spese ricerca condotta @url,negative,anger
5.321568189616005e+17,Votate sì! La Buona Scuola - INSERIMENTO IN RUOLO DOCENTI SFP VECCHIO ORDINAMENTO https://t.co/CzLVgTNWfe #labuonascuola,0.0,0.0,TW-BS,votato sì buono scuola inserimento ruolo docente SFP vecchio ordinamento @url #labuonascuola,votate sì buona scuola inserimento ruolo docenti sfp vecchio ordinamento @url #labuonascuola,votate sì buona scuola inserimento ruolo docenti sfp vecchio ordinamento @url @hashtag,positive,fear
8.269445151142257e+17,Vorrei un campo rom vicino la casa di tutti quei buonisti e moralisti che predicano così bene!,1.0,1.0,HSC,volere campo rom vicino casa buonista moralista predire così bene,vorrei campo rom vicino casa quei buonisti moralisti predicano così bene,vorrei campo rom vicino casa quei buonisti moralisti predicano così bene,negative,anger
8.4717582366899e+17,Vorrei sapere per quanti anni un giovane musulmano rimane praticante. Dopo un po' se ne fregano della religione #GABBIAOPEN,0.0,0.0,HSC,volere sapere anno giovane musulmano rimanere praticante dopo po fregare religione #GABBIAOPEN,vorrei sapere anni giovane musulmano rimane praticante dopo po fregano religione #gabbiaopen,vorrei sapere anni giovane musulmano rimane praticante dopo po fregano religione @hashtag,negative,anger
8.246952358171155e+17,Vorrei fare con te come #Salvini ai rom con le ruspe,1.0,1.0,HSC,volere te #Salvini rom ruspa,vorrei te #salvini rom ruspe,vorrei te @hashtag rom ruspe,negative,anger
8.007895806770545e+17,Vorrei dire una cosa in favore dei #rom che nessuno dice mai. Fatto.  #dallavostraparte,1.0,1.0,HSC,volere dire cosa favore #rom nessuno dire mai fatto #dallavostraparte,vorrei dire cosa favore #rom nessuno dice mai fatto #dallavostraparte,vorrei dire cosa favore @hashtag nessuno dice mai fatto @hashtag,positive,anger
1.552659603942441e+17,Vorrei che tutti i quintali di pasta al forno che gli ora stiamo mangiando siano goduti alla faccia di Mario Monti e della Bce #wl'Ungheria,1.0,0.0,TW-SENTIPOLC,volere quintale pasta forno ora mangiare godere Mario Monti Bce #wl Ungheria,vorrei quintali pasta forno ora mangiando goduti mario monti bce #wl ungheria,vorrei quintali pasta forno ora mangiando goduti mario monti bce @hashtag,positive,joy
1.3675052451823616e+17,Vorrei Che lo sforzo di Mario Monti fosse sostenuto e sorretto da una valanga di pensieri positivi...... Possibile? In Italia?,0.0,0.0,TW-SENTIPOLC,volere sforzo Mario Monti sostenere sorreggere valanga pensiero positivo possibile Italia,vorrei sforzo mario monti sostenuto sorretto valanga pensieri positivi possibile italia,vorrei sforzo mario monti sostenuto sorretto valanga pensieri positivi possibile italia,positive,joy
8.35151283053019e+17,"Vorrei avere piú caratteri per discutere civilmente del caso della rom urlatrice, per esempio.",0.0,0.0,HSC,volere carattere discutere civilmente caso rom urlatore esempio,vorrei piú caratteri discutere civilmente caso rom urlatrice esempio,vorrei piú caratteri discutere civilmente caso rom urlatrice esempio,negative,anger
5.55300866555904e+17,"Vorrei anche io fare battute sul profeta islamico, ma ometto #sapevatelo",1.0,0.0,HSC,volere battere profeta islamico omettere #sapevatelo,vorrei battute profeta islamico ometto #sapevatelo,vorrei battute profeta islamico ometto @hashtag,negative,anger
7.852113666091252e+17,Volevo caricare la mia bici in macchina ma per fisica ci siamo accorti che era più grande la bici della macchina e sembravamo ladri rom,1.0,0.0,HSC,volere caricare bici macchina fisica accorgere grande bici macchina sembrare ladro rom,volevo caricare bici macchina fisica accorti grande bici macchina sembravamo ladri rom,volevo caricare bici macchina fisica accorti grande bici macchina sembravamo ladri rom,negative,anger
5.531836226863432e+17,Volevo avvisare tutti i terroristi Islamici che mi seguono: #barbaradurso ha ripreso a fare giornalismo...,1.0,1.0,HSC,volere avvisare terrorista islamico seguire #barbaradurso riprendere giornalismo,volevo avvisare terroristi islamici seguono #barbaradurso ripreso giornalismo,volevo avvisare terroristi islamici seguono @hashtag ripreso giornalismo,negative,fear
1.4619775929956352e+17,Volantino #Rifondazione per lo #sciopero generale contro la #manovra depressiva del #governo #monti http://t.co/fte31ZiC,0.0,0.0,TW-SENTIPOLC,volantino #Rifondazione #sciopero generale #manovra depressivo #governo #monti @url,volantino #rifondazione #sciopero generale #manovra depressiva #governo #monti @url,volantino @hashtag @hashtag generale @hashtag depressiva @hashtag @hashtag @url,negative,fear
5.114441293066486e+17,"Voi siete il buono della scuola: fatelo capire ai teorici della ""buona scuola"". Buon inizio ragazzi. #primogiornodiscuola (cit.)",1.0,0.0,TW-BS,buono scuola capire teorico buono scuola buon inizio ragazzo #primogiornodiscuola cit,buono scuola fatelo capire teorici buona scuola buon inizio ragazzi #primogiornodiscuola cit,buono scuola fatelo capire teorici buona scuola buon inizio ragazzi @hashtag cit,positive,joy
1.526776625303552e+17,Voi avete qualche notiziuccia fresca sull'armata brancaleone?(governo Monti),1.0,0.0,TW-SENTIPOLC,qualche notiziuccia fresco armato brancaleone governo Monti,qualche notiziuccia fresca armata brancaleone governo monti,qualche notiziuccia fresca armata brancaleone governo monti,negative,anger
1.3222980566712728e+17,Vogliono fare il governo Monti o il governo Casini? E se poi Silvio resiste?,0.0,0.0,TW-SENTIPOLC,volere governo Monti governo Casini poi Silvio resistere,vogliono governo monti governo casini poi silvio resiste,vogliono governo monti governo casini poi silvio resiste,negative,anger
8.253894961831608e+17,Vogliono abbattere i #lupi perché sono troppi. Beh sono troppi anche i politici i rom i clandestini. Avanti i primi.,1.0,1.0,HSC,volere abbattere #lupi troppo beh troppo politico rom clandestino avanti primo,vogliono abbattere #lupi troppi beh troppi politici rom clandestini avanti primi,vogliono abbattere @hashtag troppi beh troppi politici rom clandestini avanti primi,negative,anger
8.408533113560595e+17,"voglio l'eclettismo di voi falliti che passate da ""no alla violenza contro salvini"" a frasi tipo ""bruciamo i campi rom"" #salvininapoli",1.0,1.0,HSC,volere eclettismo fallire passare no violenza salvini frase tipo bruciare campo rom #salvininapoli,voglio eclettismo falliti passate no violenza salvini frasi tipo bruciamo campi rom #salvininapoli,voglio eclettismo falliti passate no violenza salvini frasi tipo bruciamo campi rom @hashtag,negative,anger
5.6913941673796e+17,"Voglio andare ad Alghero in compagnia di una straniera....baciarsi sul mare forza 9,poi vomitare,ma come fai poi a baciarti...ahahahah",1.0,0.0,HSC,volere andare Alghero compagnia straniera baciare mare forza @number poi vomitare poi baciare ahahahah,voglio andare alghero compagnia straniera baciarsi mare forza @number poi vomitare poi baciarti ahahahah,voglio andare alghero compagnia straniera baciarsi mare forza @number poi vomitare poi baciarti ahahahah,negative,anger
1.3440960262320947e+17,Vogliamo il Presidente Mario Monti http://t.co/mBCWXtKt Presidente! #FullMonti,0.0,0.0,TW-SENTIPOLC,volere presidente Mario Monti @url presidente #FullMonti,vogliamo presidente mario monti @url presidente #fullmonti,vogliamo presidente mario monti @url presidente @hashtag,positive,joy
5.252233759550382e+17,Vogliamo anche al liceo l'alternanza scuola lavoro #labuonascuola  @SteGiannini,0.0,0.0,TW-BS,volere liceo alternanza scuola lavoro #labuonascuola @SteGiannini,vogliamo liceo alternanza scuola lavoro #labuonascuola @stegiannini,vogliamo liceo alternanza scuola lavoro @hashtag @mention,positive,joy
5.2199142109689856e+17,Vladimir Luxuria incontra Berlusconi. Chissà di che cazzo hanno parlato. [@maurizioneri79],1.0,0.0,TW-SPINO,Vladimir Luxuria incontrare Berlusconi chissà cazzo parlare @maurizioneri79,vladimir luxuria incontra berlusconi chissà cazzo parlato @maurizioneri79,vladimir luxuria incontra berlusconi chissà cazzo parlato @mention,negative,anger
8.101097985701642e+17,Viva la Sicilia e viva tutti profughi che arriveranno 2017!!!!Pensate!!Senza @matteosalvinimi che cosa succederà 😂,1.0,0.0,HSC,vivere Sicilia vivo profugo arrivare @number pensata senza @matteosalvinimi cosa succedere @emoji,viva sicilia viva profughi arriveranno @number pensate senza @matteosalvinimi cosa succederà @emoji,viva sicilia viva profughi arriveranno @number pensate senza @mention cosa succederà @emoji,negative,anger
1.9307382571231232e+17,Visto che una possibilità l'abbiamo data a tutti i mafiosi disponibili non vedo perchè non dovremmo ora darla anche a #Grillo .,0.0,0.0,TW-SENTIPOLC,visto possibilità dare mafioso disponibile vedere perchè dovere ora dare #Grillo,visto possibilità data mafiosi disponibili vedo perchè dovremmo ora darla #grillo,visto possibilità data mafiosi disponibili vedo perchè dovremmo ora darla @hashtag,positive,joy
8.001065689477364e+17,"Visita di Bergoglio a Milano: incontrerà islamici, immigrati e rom, se ha tempo i cattolici italiani | Riscatto... https://t.co/9P3JB4ePST",1.0,0.0,HSC,visita Bergoglio Milano incontrare islamico immigrato rom tempo cattolico italiano riscatto @url,visita bergoglio milano incontrerà islamici immigrati rom tempo cattolici italiani riscatto @url,visita bergoglio milano incontrerà islamici immigrati rom tempo cattolici italiani riscatto @url,negative,anger
5.619849880073708e+17,"Visita alle Ardeatine, discorso di otto parole, messa all'alba e selfie con le suore. Al confronto Napolitano era Balotelli. [@fdecollibus]",1.0,1.0,TW-SPINO,visita Ardeatine discorso otto parola messo alba selfie suora confronto Napolitano Balotelli @fdecollibus,visita ardeatine discorso otto parole messa alba selfie suore confronto napolitano balotelli @fdecollibus,visita ardeatine discorso otto parole messa alba selfie suore confronto napolitano balotelli @mention,negative,anger
4.626557037366477e+17,Violenze e spari a Roma prima della finale di Coppa Italia. Bello che si stia valorizzando anche questo trofeo. [@MisterDonnie13],1.0,0.0,TW-SPINO,violenza sparo Roma prima finale coppa Italia bello valorizzare trofeo @MisterDonnie13,violenze spari roma prima finale coppa italia bello valorizzando trofeo @misterdonnie13,violenze spari roma prima finale coppa italia bello valorizzando trofeo @mention,positive,joy
